Time(s),GPU_Mem(MB),GPU_Util(%),CPU_Util(%),RAM_Util(%),GPU_Power(W),GPU_Temp(C)
0.00,23098.62,19,7.2,7.5,70.78,33
0.52,23172.62,17,3.4,7.5,70.72,33
1.03,23176.62,0,3.5,7.5,70.57,33
1.53,23182.62,22,3.4,7.5,70.72,33
2.03,23186.62,13,3.5,7.5,70.89,33
2.53,23190.62,21,2.4,7.5,70.80,33
3.04,23192.62,12,2.5,7.5,70.88,33
3.55,23192.62,0,3.3,7.5,70.12,33
4.05,23192.62,0,4.2,7.5,69.64,33
4.56,38558.62,0,3.8,7.5,69.33,33
5.06,38558.62,25,3.4,7.5,70.38,33
5.56,38560.62,25,3.5,7.6,71.43,33
6.06,38560.62,25,3.5,7.5,71.30,33
6.56,38560.62,4,3.4,7.5,70.82,33
7.06,38560.62,26,3.5,7.5,70.97,34
7.57,38560.62,26,3.4,7.5,71.79,34
8.07,38566.62,0,3.4,7.5,70.85,34
8.57,38636.62,1,3.4,7.6,69.99,34
9.07,38640.62,77,4.6,7.6,135.44,37
9.58,38640.62,100,3.4,7.6,218.24,41
10.08,38640.62,100,3.4,7.6,277.14,42
10.58,38640.62,100,3.5,7.6,299.01,42
11.08,38640.62,100,3.6,7.6,297.81,42
11.58,38640.62,100,3.3,7.6,299.19,43
12.09,38640.62,100,3.4,7.6,298.97,44
12.59,38640.62,100,3.3,7.6,298.25,44
13.09,38640.62,100,3.4,7.6,298.13,44
13.59,38640.62,100,5.1,7.6,298.42,45
14.10,38640.62,100,5.0,7.6,298.46,45
14.60,38640.62,100,5.0,7.6,297.93,46
15.10,38640.62,100,4.9,7.6,298.54,46
15.60,38640.62,100,5.7,7.6,298.58,46
16.11,38640.62,100,5.0,7.6,298.85,47
16.61,38640.62,100,5.0,7.6,298.70,47
17.11,38640.62,100,4.9,7.6,299.08,47
17.61,38640.62,100,4.7,7.6,298.59,48
18.11,38640.62,100,3.4,7.6,297.86,48
18.62,38640.62,100,3.6,7.6,298.36,49
19.12,38640.62,100,3.5,7.6,298.27,49
19.62,38640.62,100,3.5,7.6,298.17,49
20.12,38640.62,100,3.5,7.6,298.32,49
20.62,38640.62,100,3.4,7.6,298.47,50
21.13,38640.62,100,3.5,7.6,297.99,50
21.63,38640.62,100,3.3,7.6,297.46,50
22.13,38640.62,100,3.4,7.6,298.12,51
22.63,38640.62,100,3.5,7.6,298.07,51
23.14,38640.62,100,3.3,7.6,298.26,51
23.64,38640.62,48,4.1,7.6,257.73,47
